open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2023-01-01 00:00:00,1196.13,1197.41,1190.57,1196.34,49695.7047,2023-01-01 11:59:59.999,59355102.283907,114142,24188.7036,28889688.081844,0
2023-01-01 12:00:00,1196.35,1204.67,1193.54,1200.34,68066.3638,2023-01-01 23:59:59.999,81659894.371801,119009,35866.7971,43028992.346961,0
2023-01-02 00:00:00,1200.33,1224.29,1193.0,1217.35,164447.1963,2023-01-02 11:59:59.999,199116361.939314,191766,80768.9345,97753659.824532,0
2023-01-02 12:00:00,1217.35,1223.85,1211.22,1214.0,88346.9437,2023-01-02 23:59:59.999,107541075.588165,138234,42701.0089,51983515.786063,0
2023-01-03 00:00:00,1213.99,1219.89,1211.5,1214.98,76156.5908,2023-01-03 11:59:59.999,92583148.198785,126460,36945.8479,44917444.794548,0
2023-01-03 12:00:00,1214.98,1219.24,1204.93,1214.55,129362.9036,2023-01-03 23:59:59.999,156742195.05346,170249,60927.5036,73843128.216261,0
2023-01-04 00:00:00,1214.56,1264.0,1212.71,1251.58,255196.7867,2023-01-04 11:59:59.999,317414712.270554,271425,132225.2909,164351699.518737,0
2023-01-04 12:00:00,1251.59,1272.6,1241.89,1256.9,202602.8781,2023-01-04 23:59:59.999,254391048.887501,254995,104633.0518,131406455.102427,0
2023-01-05 00:00:00,1256.91,1259.95,1245.3,1255.91,135184.8079,2023-01-05 11:59:59.999,169339065.328532,163869,68253.6041,85517826.016504,0
2023-01-05 12:00:00,1255.9,1256.01,1242.81,1251.24,137620.5221,2023-01-05 23:59:59.999,172040753.949578,175576,69142.9588,86450462.810936,0
2023-01-06 00:00:00,1251.25,1257.98,1237.98,1243.4,115681.4428,2023-01-06 11:59:59.999,144451675.31794,167565,55211.0988,68952236.283754,0
2023-01-06 12:00:00,1243.4,1276.7,1236.0,1269.14,226662.7595,2023-01-06 23:59:59.999,285196671.794663,277275,117066.3934,147300640.639082,0
2023-01-07 00:00:00,1269.13,1271.09,1262.24,1263.79,60915.6931,2023-01-07 11:59:59.999,77122077.672095,117331,29471.6714,37315322.56912,0
2023-01-07 12:00:00,1263.79,1266.61,1261.3,1264.07,68558.5953,2023-01-07 23:59:59.999,86638472.339561,125463,34986.2035,44215109.436703,0
2023-01-08 00:00:00,1264.06,1266.22,1257.77,1261.67,60355.3489,2023-01-08 11:59:59.999,76172411.810941,122808,27924.366,35243042.832785,0
2023-01-08 12:00:00,1261.68,1296.0,1261.27,1290.16,153281.4359,2023-01-08 23:59:59.999,195200965.719117,218690,85577.167,109013801.913784,0
2023-01-09 00:00:00,1290.15,1327.5,1285.44,1318.27,306726.143,2023-01-09 11:59:59.999,401029919.73441696,341115,160529.1092,209875876.520306,0
2023-01-09 12:00:00,1318.28,1344.91,1315.08,1320.39,275001.5538,2023-01-09 23:59:59.999,365610166.19598,326444,129735.1884,172518113.550651,0
2023-01-10 00:00:00,1320.4,1334.73,1316.8,1329.32,209962.6069,2023-01-10 11:59:59.999,278377528.173952,210615,103173.0728,136801447.828502,0
2023-01-10 12:00:00,1329.32,1347.69,1323.07,1335.62,249697.6238,2023-01-10 23:59:59.999,333303062.56738,256804,120590.8198,160961403.783222,0
2023-01-11 00:00:00,1335.63,1341.5,1327.19,1336.45,143082.0729,2023-01-11 11:59:59.999,190844359.62884,185514,70270.0101,93740790.775738,0
2023-01-11 12:00:00,1336.44,1398.0,1321.04,1389.39,329383.8827,2023-01-11 23:59:59.999,444274586.80068094,349231,165324.2136,223011101.325603,0
2023-01-12 00:00:00,1389.4,1418.77,1386.0,1397.78,349111.7844,2023-01-12 11:59:59.999,488882245.118984,325656,171105.2154,239596501.259366,0
2023-01-12 12:00:00,1397.78,1438.0,1361.92,1415.92,528600.6648,2023-01-12 23:59:59.999,742778602.749265,547884,267814.1729,376492938.441188,0
2023-01-13 00:00:00,1415.91,1419.5,1401.03,1409.71,182255.0343,2023-01-13 11:59:59.999,257014596.965728,258555,93976.7278,132533410.04503,0
2023-01-13 12:00:00,1409.71,1464.0,1401.61,1451.2,317122.8306,2023-01-13 23:59:59.999,452948694.575901,411980,165466.527,236288564.097557,0
2023-01-14 00:00:00,1451.21,1599.98,1449.14,1530.09,663165.9392,2023-01-14 11:59:59.999,1019050045.250139,788745,343476.5263,527594509.619397,0
2023-01-14 12:00:00,1530.08,1559.91,1507.15,1549.9,277525.8382,2023-01-14 23:59:59.999,425233772.939032,399054,139365.6956,213583668.957826,0
2023-01-15 00:00:00,1549.91,1552.22,1516.03,1533.35,169205.9429,2023-01-15 11:59:59.999,258469295.083697,269400,81334.3856,124229098.640462,0
2023-01-15 12:00:00,1533.36,1566.66,1528.93,1552.52,218626.7709,2023-01-15 23:59:59.999,338157457.214146,320780,111165.3033,171948978.509539,0
2023-01-16 00:00:00,1552.52,1584.58,1523.2,1542.32,289971.5689,2023-01-16 11:59:59.999,452237066.909696,398135,138173.71,215530625.85681,0
2023-01-16 12:00:00,1542.31,1604.5,1521.31,1576.94,284651.3264,2023-01-16 23:59:59.999,445716686.020288,404308,145179.7266,227427980.171669,0
2023-01-17 00:00:00,1576.94,1582.6,1541.15,1569.07,184165.2215,2023-01-17 11:59:59.999,288000393.783189,298400,89812.7294,140488407.556063,0
2023-01-17 12:00:00,1569.08,1609.0,1560.97,1565.57,322606.5004,2023-01-17 23:59:59.999,509552226.404148,404925,163987.7324,259023831.145658,0
2023-01-18 00:00:00,1565.56,1592.01,1562.93,1575.9,170904.739,2023-01-18 11:59:59.999,269961017.073788,243069,89515.8191,141411969.715347,0
2023-01-18 12:00:00,1575.9,1610.0,1501.39,1511.43,581630.1467,2023-01-18 23:59:59.999,902282150.656075,670518,289933.5274,449828940.64913505,0
2023-01-19 00:00:00,1511.44,1532.5,1509.15,1519.61,103991.7352,2023-01-19 11:59:59.999,158421298.58529,185858,52672.3494,80241581.192364,0
2023-01-19 12:00:00,1519.6,1564.43,1513.33,1551.09,204687.7293,2023-01-19 23:59:59.999,314799512.34964,291345,105187.987,161797161.758941,0
2023-01-20 00:00:00,1551.09,1563.88,1542.02,1549.49,111323.8508,2023-01-20 11:59:59.999,172663251.495791,202241,53037.5843,82263585.430761,0
2023-01-20 12:00:00,1549.48,1669.9,1549.02,1658.52,329247.1466,2023-01-20 23:59:59.999,529564666.374872,508392,177220.4371,284949235.901476,0
2023-01-21 00:00:00,1658.53,1679.26,1616.21,1647.04,282611.151,2023-01-21 11:59:59.999,466551329.56823105,344858,140438.0359,231892261.872021,0
2023-01-21 12:00:00,1647.04,1668.88,1622.09,1626.66,211637.4499,2023-01-21 23:59:59.999,349438765.77862,303837,102147.2587,168782738.478234,0
2023-01-22 00:00:00,1626.65,1636.49,1604.0,1624.57,156579.1953,2023-01-22 11:59:59.999,254378364.744805,205879,81265.2258,132024229.401486,0
2023-01-22 12:00:00,1624.57,1663.89,1607.06,1627.44,275150.4956,2023-01-22 23:59:59.999,449505453.8726,344130,134880.9921,220377730.858829,0
2023-01-23 00:00:00,1627.43,1642.58,1625.68,1636.67,125646.8725,2023-01-23 11:59:59.999,205441058.190127,226997,63346.2892,103580665.442715,0
2023-01-23 12:00:00,1636.66,1648.09,1585.29,1626.29,281620.2431,2023-01-23 23:59:59.999,457001217.816515,375847,139680.1777,226733851.264238,0
2023-01-24 00:00:00,1626.28,1641.46,1614.39,1625.6,150581.7813,2023-01-24 11:59:59.999,245524016.004856,234475,73738.7488,120243873.080807,0
2023-01-24 12:00:00,1625.59,1632.12,1535.0,1555.97,311693.543,2023-01-24 23:59:59.999,496959232.773592,429785,145790.5098,232551032.811317,0
2023-01-25 00:00:00,1555.97,1558.91,1518.0,1545.49,242905.7969,2023-01-25 11:59:59.999,374994417.08209693,312388,124059.2981,191520394.570598,0
2023-01-25 12:00:00,1545.5,1641.0,1525.0,1611.94,403569.1197,2023-01-25 23:59:59.999,635963891.441162,520188,212741.037,335497333.444951,0
2023-01-26 00:00:00,1611.95,1632.84,1590.0,1604.33,237907.9546,2023-01-26 11:59:59.999,383438113.357564,284243,109459.6083,176435671.168459,0
2023-01-26 12:00:00,1604.33,1621.06,1577.43,1601.09,294869.892,2023-01-26 23:59:59.999,472856339.191508,377467,146124.8886,234364384.286921,0
2023-01-27 00:00:00,1601.08,1606.53,1552.54,1578.84,241067.9696,2023-01-27 11:59:59.999,379629752.277568,336152,129883.3864,204424273.966736,0
2023-01-27 12:00:00,1578.84,1621.0,1561.0,1597.62,271025.4179,2023-01-27 23:59:59.999,431264707.315244,385187,141842.3036,225806498.292444,0
2023-01-28 00:00:00,1597.61,1606.83,1578.63,1586.18,134575.8998,2023-01-28 11:59:59.999,214456172.09161,222826,65247.4339,103990235.983823,0
2023-01-28 12:00:00,1586.19,1586.19,1555.99,1572.1,179099.7576,2023-01-28 23:59:59.999,281553251.541159,239162,94560.1191,148635354.644716,0
2023-01-29 00:00:00,1572.1,1619.79,1566.33,1609.08,246526.2483,2023-01-29 11:59:59.999,394400715.002566,330843,129513.6366,207220693.637551,0
2023-01-29 12:00:00,1609.08,1660.0,1603.52,1644.72,305241.6651,2023-01-29 23:59:59.999,497734396.025944,416212,152262.3811,248257848.317026,0
2023-01-30 00:00:00,1644.73,1647.53,1577.0,1581.55,284500.1191,2023-01-30 11:59:59.999,458312796.566548,368910,136477.5173,219709573.658557,0
2023-01-30 12:00:00,1581.55,1597.03,1535.0,1566.2,310555.209,2023-01-30 23:59:59.999,487350297.35156894,414793,150843.5234,236768110.67098,0
2023-01-31 00:00:00,1566.21,1583.98,1561.63,1570.91,148842.6314,2023-01-31 11:59:59.999,233775978.188481,239955,73542.0711,115525154.76879,0
2023-01-31 12:00:00,1570.91,1605.18,1564.02,1585.33,200014.0437,2023-01-31 23:59:59.999,317086295.959212,325170,100256.8956,158954400.077272,0
2023-02-01 00:00:00,1585.32,1592.94,1566.24,1580.87,128110.2811,2023-02-01 11:59:59.999,202315687.71585,238061,64416.437,101740679.87668,0
2023-02-01 12:00:00,1580.87,1647.77,1555.18,1641.68,346506.8898,2023-02-01 23:59:59.999,555658652.1723009,557213,181653.7847,291450880.02024,0
2023-02-02 00:00:00,1641.67,1696.38,1639.32,1671.99,252875.5325,2023-02-02 11:59:59.999,422688900.72321,386001,125572.8473,209806400.838613,0
2023-02-02 12:00:00,1671.98,1714.68,1626.85,1643.12,376313.3549,2023-02-02 23:59:59.999,629415626.1494471,553544,189116.96,316544149.349437,0
2023-02-03 00:00:00,1643.12,1650.83,1629.96,1649.2,150929.9087,2023-02-03 11:59:59.999,247757150.275272,256662,73072.6101,119974153.917743,0
2023-02-03 12:00:00,1649.2,1676.0,1625.93,1663.52,313885.1233,2023-02-03 23:59:59.999,519192019.15515,458013,156500.4348,258872829.983598,0
2023-02-04 00:00:00,1663.52,1665.95,1645.43,1661.92,114388.2035,2023-02-04 11:59:59.999,189535396.884236,234253,55981.7426,92750218.758708,0
2023-02-04 12:00:00,1661.92,1695.29,1658.53,1666.38,193838.926,2023-02-04 23:59:59.999,325322599.101562,325055,97475.3994,163603331.546515,0
2023-02-05 00:00:00,1666.39,1673.81,1656.68,1662.6,119692.4051,2023-02-05 11:59:59.999,199313124.415248,221426,58370.5917,97197450.362873,0
2023-02-05 12:00:00,1662.6,1664.58,1609.3,1629.02,293887.2697,2023-02-05 23:59:59.999,480814167.511496,459001,140170.2859,229284008.473554,0
2023-02-06 00:00:00,1629.01,1642.53,1608.53,1634.81,162688.3001,2023-02-06 11:59:59.999,264879827.262423,272077,79797.5949,129955087.313352,0
2023-02-06 12:00:00,1634.81,1658.56,1605.01,1614.29,221431.1196,2023-02-06 23:59:59.999,361951325.42516303,364511,112005.1983,183146231.226245,0
2023-02-07 00:00:00,1614.28,1647.87,1613.14,1640.71,153981.0252,2023-02-07 11:59:59.999,251537726.904687,253817,82753.929,135181798.894148,0
2023-02-07 12:00:00,1640.71,1678.37,1624.39,1671.03,297941.3748,2023-02-07 23:59:59.999,492097489.82386494,492755,152170.1235,251415650.68857,0
2023-02-08 00:00:00,1671.03,1697.91,1667.9,1673.9,169978.0709,2023-02-08 11:59:59.999,285343366.657744,284752,86196.0298,144720033.553389,0
2023-02-08 12:00:00,1673.9,1681.98,1630.47,1650.43,247988.183,2023-02-08 23:59:59.999,410449970.919691,386281,119742.0909,198158771.984977,0
2023-02-09 00:00:00,1650.42,1656.17,1608.8,1633.15,250262.4016,2023-02-09 11:59:59.999,407579935.36881,350461,128646.8495,209456332.120867,0
2023-02-09 12:00:00,1633.16,1649.24,1524.4,1545.35,407749.2948,2023-02-09 23:59:59.999,646434437.214582,623418,188598.0871,299009796.231167,0
2023-02-10 00:00:00,1545.35,1555.01,1529.36,1537.03,205671.3421,2023-02-10 11:59:59.999,317815424.984429,284137,97668.1068,150948271.445807,0
2023-02-10 12:00:00,1537.04,1548.01,1490.0,1513.06,278982.8778,2023-02-10 23:59:59.999,425349218.52707,398078,123184.389,187812397.682956,0
2023-02-11 00:00:00,1513.05,1526.8,1507.53,1520.16,143610.5152,2023-02-11 11:59:59.999,218033721.275153,196096,71372.3926,108345009.777651,0
2023-02-11 12:00:00,1520.16,1543.0,1505.0,1538.51,146081.0556,2023-02-11 23:59:59.999,222623386.453185,244410,70207.5065,107023006.456126,0
2023-02-12 00:00:00,1538.5,1540.06,1528.97,1533.48,79017.3687,2023-02-12 11:59:59.999,121204419.614747,161894,38315.1054,58774559.642739,0
2023-02-12 12:00:00,1533.47,1548.02,1493.08,1514.83,207741.0053,2023-02-12 23:59:59.999,316810272.693287,328715,96429.8711,147050463.931443,0
2023-02-13 00:00:00,1514.82,1526.1,1466.0,1486.07,366031.6515,2023-02-13 11:59:59.999,548376100.317986,410270,168395.2756,252162896.564858,0
2023-02-13 12:00:00,1486.07,1510.43,1461.93,1505.24,277120.7389,2023-02-13 23:59:59.999,411268123.01708704,378132,138306.0239,205349148.917389,0
2023-02-14 00:00:00,1505.25,1519.82,1494.09,1507.7,150317.2947,2023-02-14 11:59:59.999,226036095.952888,259497,68837.5618,103529042.324715,0
2023-02-14 12:00:00,1507.7,1569.0,1482.66,1555.71,518647.0821,2023-02-14 23:59:59.999,795606839.3610871,601841,260948.6565,400389837.847758,0
2023-02-15 00:00:00,1555.7,1580.0,1542.55,1572.26,151606.2044,2023-02-15 11:59:59.999,235603710.043478,252763,79606.516,123767117.342211,0
2023-02-15 12:00:00,1572.26,1680.0,1566.86,1674.92,429601.6542,2023-02-15 23:59:59.999,692849243.901571,599971,224141.243,361599826.53491,0
2023-02-16 00:00:00,1674.92,1712.24,1672.53,1682.82,312728.275,2023-02-16 11:59:59.999,528328926.562312,468433,164207.2437,277474410.781172,0
2023-02-16 12:00:00,1682.82,1742.97,1633.72,1637.84,519995.3981,2023-02-16 23:59:59.999,879767230.303904,752329,257913.0058,436571189.56311,0
2023-02-17 00:00:00,1637.83,1674.75,1630.51,1666.2,226335.7138,2023-02-17 11:59:59.999,375259528.102602,385347,118002.1659,195670596.218243,0
2023-02-17 12:00:00,1666.2,1722.0,1646.09,1693.87,353598.9492,2023-02-17 23:59:59.999,595632334.955693,554675,180273.3677,303732603.402979,0
2023-02-18 00:00:00,1693.81,1704.46,1685.69,1691.47,136263.2401,2023-02-18 11:59:59.999,231031039.651515,225841,64068.621,108635201.830803,0
2023-02-18 12:00:00,1691.47,1713.13,1679.77,1691.62,131042.5412,2023-02-18 23:59:59.999,221938733.958735,232141,67323.7457,114034174.039455,0
2023-02-19 00:00:00,1691.62,1709.63,1689.5,1695.36,130185.1962,2023-02-19 11:59:59.999,220886439.169988,207562,65870.716,111761629.68001,0
2023-02-19 12:00:00,1695.36,1726.59,1666.14,1679.75,270837.8515,2023-02-19 23:59:59.999,459205588.16131,426552,132509.194,224792018.074577,0
2023-02-20 00:00:00,1679.74,1719.89,1650.56,1713.77,252137.4898,2023-02-20 11:59:59.999,425990155.585071,382423,131827.9534,222813307.693045,0
2023-02-20 12:00:00,1713.78,1716.53,1684.32,1703.27,199177.3437,2023-02-20 23:59:59.999,339208796.378506,369693,101308.8076,172559371.74741,0
2023-02-21 00:00:00,1703.27,1716.66,1666.17,1669.5,263072.7649,2023-02-21 11:59:59.999,445643047.651202,411483,129980.9149,220272938.048548,0
