open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2023-01-01 00:00:00,1196.13,1196.7,1192.72,1194.09,5889.384,2023-01-01 00:59:59.999,7036229.662778,15832,2550.8294,3046971.697395,0
2023-01-01 01:00:00,1194.09,1196.37,1193.84,1196.02,3157.2079,2023-01-01 01:59:59.999,3773474.994579,8245,1583.8715,1892939.782829,0
2023-01-01 02:00:00,1196.01,1196.74,1194.11,1195.4,3752.0476,2023-01-01 02:59:59.999,4484632.175954,8377,1771.7331,2117551.972758,0
2023-01-01 03:00:00,1195.41,1195.41,1191.71,1194.04,7493.4207,2023-01-01 03:59:59.999,8941606.828967,10244,3409.5492,4068125.506566,0
2023-01-01 04:00:00,1194.05,1194.05,1190.57,1192.92,6409.2491,2023-01-01 04:59:59.999,7641846.882229,10211,2832.3239,3377224.723354,0
2023-01-01 05:00:00,1192.92,1194.67,1192.71,1194.54,2316.3448,2023-01-01 05:59:59.999,2765081.23703,7332,1203.6576,1436771.218447,0
2023-01-01 06:00:00,1194.55,1195.23,1193.81,1194.81,4102.0957,2023-01-01 06:59:59.999,4899784.445077,12437,2464.4186,2943526.943054,0
2023-01-01 07:00:00,1194.81,1195.75,1193.04,1195.06,5826.7698,2023-01-01 07:59:59.999,6960068.323581,10202,2978.3992,3557578.371255,0
2023-01-01 08:00:00,1195.07,1195.9,1194.17,1194.28,3124.6022,2023-01-01 08:59:59.999,3734149.847429,7964,1508.1465,1802224.457374,0
2023-01-01 09:00:00,1194.27,1196.55,1193.98,1196.48,2763.9478,2023-01-01 09:59:59.999,3303313.973067,8452,1498.1619,1790406.736775,0
2023-01-01 10:00:00,1196.47,1197.19,1195.59,1197.14,2006.5809,2023-01-01 10:59:59.999,2400028.446332,7025,1017.4945,1216995.71412,0
2023-01-01 11:00:00,1197.14,1197.41,1195.72,1196.34,2854.0542,2023-01-01 11:59:59.999,3414885.466884,7821,1370.1182,1639370.957917,0
2023-01-01 12:00:00,1196.35,1198.5,1195.83,1197.17,4418.7365,2023-01-01 12:59:59.999,5289955.583378,9228,2360.9452,2826257.428783,0
2023-01-01 13:00:00,1197.16,1197.29,1193.54,1195.26,4804.449,2023-01-01 13:59:59.999,5742834.498842,10193,1915.1418,2289290.678044,0
2023-01-01 14:00:00,1195.26,1195.86,1194.2,1194.5,3496.2584,2023-01-01 14:59:59.999,4178623.539318,8320,1650.5311,1972652.969916,0
2023-01-01 15:00:00,1194.5,1196.81,1194.34,1196.81,2771.4134,2023-01-01 15:59:59.999,3312992.416681,7903,1432.0601,1711801.363998,0
2023-01-01 16:00:00,1196.81,1198.35,1195.88,1197.34,8667.6825,2023-01-01 16:59:59.999,10377660.301532,11497,5146.765,6161953.986749,0
2023-01-01 17:00:00,1197.35,1203.5,1197.34,1200.68,10429.0438,2023-01-01 17:59:59.999,12522356.335459,13059,5530.1178,6638510.383249,0
