name,price_usd,subscription,purchases,est_gross_usd,users,likes,trial_days,freemium,third_party,publisher,created,updated,editor_types,tagline,id
Find and Replace,3.0,False,30,90.0,28354,187,0,True,False,maximedaraize,2024-11-26,2025-08-08,design,Find and replace colors with one click,76b91f2a-3d59-4598-8687-699a9f4b2708
ASCII Art Generator,9.0,True,10,90.0,6212,83,0,True,False,keno_reloaded,2025-05-24,2026-07-18,"design,slides,whiteboard","Convert images into ASCII art in Figma with brightness, contrast, dithering, and vector export",ece0e757-ec43-4cd6-8413-e4ee505f3497
Snapattern - Seamless pattern generator,5.0,False,17,85.0,4486,136,0,True,False,beingmani97,2025-04-28,2026-03-19,"design,whiteboard",Turn anything into generative patterns,544a1fac-0d40-4834-8dfa-ae4e71da293c
Figma to Rive (Unofficial),4.0,True,21,84.0,1359,14,0,True,False,huseyin,2025-12-09,2026-05-30,design,Copy your designs to Rive with editable text.,365ada5e-fe2d-47d2-b59b-e5935267caf6
Ultimate Blob Maker Designer,16.0,False,5,80.0,5649,74,0,True,False,keno_reloaded,2024-11-26,2024-11-26,"cooper,design,slides,whiteboard","Create vibrant, unique blobs with ease!",77fa048e-b7e3-49a2-a064-512dfaf7849d
Neumorphism Shadow Generator,12.0,False,6,72.0,6187,71,0,True,False,keno_reloaded,2024-11-26,2026-07-18,"design,slides,whiteboard","Create stunning neumorphic designs with customizable shadows, auto-gradients, colors and shape form",e38e7ced-22a5-4452-95da-c50f17883e42
Rapid Copywriting,9.0,False,7,63.0,3312,77,0,True,False,sael,2024-11-26,2025-02-04,"design,whiteboard","Find the right words fast. Instant keyword results, instant ideas, instant swap.",50790ea2-26af-4c10-8046-43aac91e14be
Glassmorphism Generator - Glass UI Generator,12.0,False,5,60.0,4595,48,0,True,False,keno_reloaded,2025-03-05,2026-07-18,"design,slides,whiteboard",Create Glassmorphism style UI elements directly in Figma - Glass UI generator,18b0c453-3c60-46f9-b4e3-8bbcc0c6acbe
Autospec - Design System Documentation,19.0,False,3,57.0,689,22,0,True,False,beingmani97,2026-03-22,2026-04-30,"design,whiteboard",Generate Design system Documentation in one click,a08dd020-fdf8-4e02-8a97-5c602012eaa5
"Perspective Warp 4K — Mesh Warp, Distort, Corner Pin, 3D Transform, Extrude & Isometric Mockups",5.0,False,11,55.0,2358,12,0,True,False,guard2,2026-07-29,2026-09-10,design,"Warp, mesh-bend & 3D-transform any layer — 4096px, vector, shadows, loops. No WebGL, no GPU limit.",f0ebfd96-b76f-428d-9e5e-9c83c343d37c
Figma to Tableau,17.0,True,3,51.0,12417,298,0,True,False,ladataviz,2024-11-26,2026-02-19,design,Export your Figma design into a fully functional Tableau Dashboard in one click,f0bede42-6263-45b1-81ad-f55d65ab7fe9
Seamless Waves Generator,12.0,False,4,48.0,7385,49,0,True,False,keno_reloaded,2024-11-26,2026-07-18,"design,slides,whiteboard","Create infinite, seamless wave patterns with ease – perfect for tiling, backgrounds, and design flow",cef6e4a8-bee6-4e94-84fe-5226beac4368
Clip Path Generator,24.0,False,2,48.0,7220,42,0,True,False,keno_reloaded,2024-11-26,2026-07-18,"cooper,design,slides,whiteboard","SVG Clip Path Generator, Image Mask generator, Insert SVG, copy HTML/CSS code",d19393a7-4f15-4d50-9f3e-e295ee69159e
File Thumbnails Generator,12.0,False,4,48.0,6006,236,0,True,False,keno_reloaded,2024-11-26,2026-07-18,"design,slides,whiteboard",Create the best file thumbnails and cover images for your files,d71b1415-3642-437c-bac1-96e2d3511f18
RenameGPT,3.0,False,16,48.0,2787,12,0,True,False,simonesalvucci_,2024-11-26,2024-12-02,design,"Rename layers in a click with RenameGPT – effortless, smart, and instant.",ec4a0613-c395-4c6d-8819-263f564daffa
Infinite variable modes,3.0,True,16,48.0,1025,41,0,True,False,michalkovacik,2024-11-26,2025-10-29,design,Get rid of the variable modes limit. Theme and localise your designs into oblivion!,67e1742f-0642-44a5-84cc-c3824b77a085
Humation / Human Illustration System,5.0,True,9,45.0,60988,1518,0,True,False,usk,2024-11-26,2024-11-26,"design,slides,whiteboard",Human Illustration System,7fb648a2-bad0-4cff-a84f-361fb80590ea
Populate,3.0,True,15,45.0,19728,210,0,True,False,dnlrj,2024-11-26,2024-11-26,design,"Populate your designs with detailed sets of real data, or use your own data",0a7c6dde-c5f3-4c27-896a-e6cd05789827
"Chart Generator - Bar, Pie, Line, Area and much more..",5.0,True,9,45.0,14801,44,0,True,False,tommyjepsen,2025-05-01,2025-05-01,"design,slides,whiteboard","Generate your charts like Bar, Pie, Line, Area, Scatter and more - even upload CSV files",87ca7de9-1336-4137-a703-a5511b1efc90
InFrame,2.0,True,22,44.0,7718,134,0,True,False,mikesizer,2024-11-26,2026-03-03,design,1-click device frames,67b9695f-037d-483e-9097-3b6e39d53e00
Barcode Gen Z,11.0,False,4,44.0,2085,17,0,True,False,keno_reloaded,2024-12-01,2026-07-18,"design,slides,whiteboard","Barcode Generator: Your ultimate barcode generator—customizable, intuitive, and built for everyone!",a5eb5b1d-30da-434a-b94c-1f222311644e
Hide Names - Frame and Section,2.0,False,21,42.0,3311,23,0,True,False,saranomy,2024-11-26,2025-01-09,"design,whiteboard",Temporarily Hide Frame and Section Names with Actions!,58df2152-9a20-4e1d-b050-f0a0fdc90a8d
Companion — All in one plugin!,2.0,False,21,42.0,550,24,0,True,False,georgesraad3,2025-05-16,2026-03-25,design,"26 plugins, in just one",3d49f354-0d8e-4618-b53a-5524282f218f
포토그마 (Photogma) · PSD ⇄ Figma,19.0,False,2,38.0,399,15,0,True,False,SH128,2026-07-18,2026-09-10,design,"Figma to PSD / PSD to Figma, 가장 정교한 양방향 변환 프로그램. PSD and Figma — editable text, shapes & effects.",ea3c168e-6302-4ff7-89bf-3ee616028644
Frames to Groups,2.0,False,18,36.0,6224,85,0,True,False,maxmartynov,2024-11-25,2025-05-28,design,"Сonvert Frames to Groups, preserving visual properties. Forever free!",11f5fea0-f8bb-4a6d-9a11-3077d328fd78
PNG Image to editable Figma elements,6.0,True,6,36.0,4233,17,0,True,False,tommyjepsen,2025-12-03,2025-12-03,design,Create editable Figma elements from your PNG images by vectorizing them,12ed69a4-4212-4944-8175-76a38360b567
Super Table,5.0,False,7,35.0,1560,39,0,True,False,urbanplastic,2025-09-28,2025-10-30,design,Create responsive tables in seconds and import your data,196ab8f1-e32b-45df-b887-dd234f3d34de
